name.vec;removal_type;by_removal;n_removal;by_fertility;n_fertility;puma;tasa;Er;Ef;Rm;ext50;Re;Erf;IER;IEM
vlowdensity;proportional;0;0;2;50;without;mean;0;25;0,0296319144834866;0;0;25;0;0,00118527657933946
vlowdensity;proportional;0;0;2;50;without;max;0;25;0,00437866713372449;0;0;25;0;0,00017514668534898
vlowdensity;proportional;0;0;2;75;with;mean;0;15,08;0,0164714133355746;0;0;15,08;0;0,0010922687888312
vlowdensity;proportional;0;0;2;75;with;max;0;22;0,0243783520234032;0;0;22;0;0,00110810691015469
vlowdensity;proportional;0;0;2;75;without;mean;0;34,06;0,0894471379004584;0;0;34,06;0;0,00262616376689543
vlowdensity;proportional;0;0;2;75;without;max;0;36,86;0,00527259306126753;0;0;36,86;0;0,000143043761835798
vlowdensity;proportional;0;0;2;100;with;mean;0;15,54;0,0172292523508972;0;0;15,54;0;0,00110870349748373
vlowdensity;proportional;0;0;2;100;with;max;0;23,96;0,0278396436525612;0;0;23,96;0;0,00116192168833728
vlowdensity;proportional;0;0;2;100;without;mean;0;33,06;0,088976441130944;0;0;33,06;0;0,00269136240565469
vlowdensity;proportional;0;0;2;100;without;max;0;46,54;0,00597300203082069;0;0;46,54;0;0,000128341255496792
vlowdensity;proportional;0;0;5;25;with;mean;0;3,52;0,0154093364007565;1;14,352;3,52;4,07727272727273;0,00437765238657856
vlowdensity;proportional;0;0;5;25;with;max;0;5;0,0469924812030075;0;0;5;0;0,0093984962406015
vlowdensity;proportional;0;0;5;25;without;mean;0;5;0,00573307435978453;0;0;5;0;0,00114661487195691
vlowdensity;proportional;0;0;5;25;without;max;0;5;0,0036697247706422;0;0;5;0;0,00073394495412844
vlowdensity;proportional;0;0;5;50;with;mean;0;5,34;0,0155921659873084;0,97;10,052;5,34;1,88239700374532;0,00291988127103154
vlowdensity;proportional;0;0;5;50;with;max;0;9,16;0,0355871886120996;0;0;9,16;0;0,00388506425896284
vlowdensity;proportional;0;0;5;50;without;mean;0;10;0,00654899229903492;0;0;10;0;0,000654899229903492
vlowdensity;proportional;0;0;5;50;without;max;0;10;0,00383818223689261;0;0;10;0;0,000383818223689261
vlowdensity;proportional;0;0;5;75;with;mean;0;5,44;0,0159516515499102;0,872;6,796;5,44;1,24926470588235;0,00293228888785113
vlowdensity;proportional;0;0;5;75;with;max;0;10,12;0,0356125356125356;0;0;10,12;0;0,00351902525815569
vlowdensity;proportional;0;0;5;75;without;mean;0;14,16;0,00750216376728917;0;0;14,16;0;0,000529813825373529
vlowdensity;proportional;0;0;5;75;without;max;0;14,7;0,00396825396825397;0;0;14,7;0;0,000269949249541086
vlowdensity;proportional;0;0;5;100;with;mean;0;5,34;0,0162140940143378;0,75;5,312;5,34;0,994756554307116;0,00303634719369622
vlowdensity;proportional;0;0;5;100;with;max;0;10,64;0,0418760469011725;0;0;10,64;0;0,00393571869371922
vlowdensity;proportional;0;0;5;100;without;mean;0;18,04;0,00786765160935116;0;0;18,04;0;0,00043612259475339
vlowdensity;proportional;0;0;5;100;without;max;0;18,74;0,00406636304489265;0;0;18,74;0;0,000216988422886481
vlowdensity;proportional;1;12;1;12;with;mean;1,46;1,46;0,0112754523437835;1;86,932;2,92;29,7712328767123;0,00386145628211763
vlowdensity;proportional;1;12;1;12;with;max;1,64;1,64;0,0114051094890511;1;86;3,28;26,219512195122;0,00347716752714972
vlowdensity;proportional;1;12;1;12;without;mean;1,98;1,8;0,0117126352557676;1;82,5;3,78;21,8253968253968;0,00309858075549408
vlowdensity;proportional;1;12;1;12;without;max;2,72;2,72;0,0123334977799704;1;76;5,44;13,9705882352941;0,00226718709190632
vlowdensity;proportional;1;25;1;25;with;mean;1,54;1,54;0,0109558603604963;1;92,612;3,08;30,0688311688312;0,00355709751964167
vlowdensity;proportional;1;25;1;25;with;max;1,64;1,64;0,010989010989011;1;92;3,28;28,0487804878049;0,00335030822835701
vlowdensity;proportional;1;25;1;25;without;mean;1,78;1,7;0,011046166152697;1;92;3,48;26,4367816091954;0,00317418567606235
vlowdensity;proportional;1;25;1;25;without;max;2;1,88;0,011101243339254;1;92;3,88;23,7113402061856;0,00286114519052938
vlowdensity;proportional;1;37;1;37;with;mean;1,56;1,6;0,0108549194588703;1;94,212;3,16;29,8139240506329;0,00343510109457921
vlowdensity;proportional;1;37;1;37;with;max;1,64;1,64;0,0108742931709439;1;94;3,28;28,6585365853659;0,00331533328382436
vlowdensity;proportional;1;37;1;37;without;mean;1,7;1,62;0,0108969050796475;1;94;3,32;28,3132530120482;0,00328220032519502
vlowdensity;proportional;1;37;1;37;without;max;1,82;1,76;0,0109170305676856;1;94;3,58;26,2569832402235;0,00304944987924178
vlowdensity;proportional;1;50;1;50;with;mean;1,58;1,52;0,0108108323304655;1;96;3,1;30,9677419354839;0,0034873652678921
vlowdensity;proportional;1;50;1;50;with;max;1,64;1,54;0,0108178277801817;1;96;3,18;30,188679245283;0,00340183263527728
vlowdensity;proportional;1;50;1;50;without;mean;1,72;1,52;0,0108305299255158;1;96;3,24;29,6296296296296;0,00334275614985054
vlowdensity;proportional;1;50;1;50;without;max;1,82;1,6;0,0108389334489486;1;96;3,42;28,0701754385965;0,00316927878624229
vlowdensity;proportional;2;12;2;12;with;mean;1,28;1,24;0,0117105349623967;1;78,42;2,52;31,1190476190476;0,00464703768349076
